Action name, date
Add book to cart,Sun Apr 25 17:26:05 EEST 2021
Add book to cart,Sun Apr 25 17:27:27 EEST 2021
Add toy to cart,Sun Apr 25 19:09:14 EEST 2021
Add clothes to cart,Sun Apr 25 19:09:46 EEST 2021
Remove an item from cart,Sun Apr 25 19:10:15 EEST 2021
Exit,Sun Apr 25 19:10:49 EEST 2021
Add drink to cart,Sun Apr 25 19:19:47 EEST 2021
Show the cart,Sun Apr 25 19:19:51 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 19:20:26 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 20:05:31 EEST 2021
Exit,Sun Apr 25 20:05:40 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 20:06:50 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 20:06:57 EEST 2021
Exit,Sun Apr 25 20:07:03 EEST 2021
Add drink to cart,Sun Apr 25 20:09:55 EEST 2021
Show the cart,Sun Apr 25 20:10:05 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 20:10:12 EEST 2021
Exit,Sun Apr 25 20:10:14 EEST 2021
Add book to cart,Sun Apr 25 20:13:19 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 20:13:24 EEST 2021
Exit,Sun Apr 25 20:13:26 EEST 2021
Exit,Sun Apr 25 20:14:15 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 20:15:13 EEST 2021
Submit the order and finish empty the cart,Sun Apr 25 20:15:17 EEST 2021
Exit,Sun Apr 25 20:15:19 EEST 2021
Exit,Sun Apr 25 20:19:32 EEST 2021
Add drink to cart,Mon Apr 26 14:41:33 EEST 2021
Submit the order and finish empty the cart,Mon Apr 26 14:41:44 EEST 2021
Submit the order and finish empty the cart,Mon Apr 26 14:42:15 EEST 2021
Exit,Mon Apr 26 14:44:20 EEST 2021
Submit the order and finish empty the cart,Mon Apr 26 14:44:51 EEST 2021
Show the cart,Mon Apr 26 14:44:59 EEST 2021
Submit the order and finish empty the cart,Mon Apr 26 14:46:11 EEST 2021
Exit,Mon Apr 26 14:46:15 EEST 2021
